Book Title:,,,,,,,,,,,,,,,,,,,,,
Total Pages:,,,,,,,,,,,,,,,,,,,,,
Total Days:,,,,,,,,,,,,,,,,,,,,,
Avg Pages / Day:,,,,,,,,,,,,,,,,,,,,,
Schedule Start:,,,,,,,,,,,,,,,,,,,,,
Schedule End:,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Day #,Date,Plan Name,Day of Week,Book,Chapter or Section,Verse Range,Verses,Pages,Page Range,Plan #,Chapter (English),Segment Span,Chanting Guide,Chanting Guide(Sinhala),Chanting Guide(Bengali),Pali Word of the day,Pali Word of the day(Sinhali),Pali Word of the day(Bengali),notification title,notification body ,notification button text
141,1 Oct,"Days 141-143
The Analysis - the Illimitables (Brahmaviharas)",Fri,Vibhaṅgapāḷi,13. Appamaññāvibhaṅgo,642–678,37,5,510–514,18,Analysis of the Illimitables,,,,,,,,,,
142,2 Oct,,Sat,Vibhaṅgapāḷi,13. Appamaññāvibhaṅgo,679–692,14,4,515–518,,Analysis of the Illimitables,,,,,,,,,,
143,3 Oct,,Sun,Vibhaṅgapāḷi,13. Appamaññāvibhaṅgo,693–702,10,4,519–522,,Analysis of the Illimitables,,,,,,,,,,
144,4 Oct,"Days 144-145
The Analysis - Training Rules (Precepts)",Mon,Vibhaṅgapāḷi,14. Sikkhāpadavibhaṅgo,703–709,7,4,523–526,19,Analysis of the Training Precepts,,,,,,,,,,
145,5 Oct,,Tue,Vibhaṅgapāḷi,14. Sikkhāpadavibhaṅgo,710–717,8,3,527–529,,Analysis of the Training Precepts,,,,,,,,,,
146,6 Oct,"Days 146-148
The Analysis - Analytical Knowledges (Discriminations)",Wed,Vibhaṅgapāḷi,15. Paṭisambhidāvibhaṅgo,718–731,14,4,530–533,20,Analysis of the Discriminations,,,,,,,,,,
147,7 Oct,,Thu,Vibhaṅgapāḷi,15. Paṭisambhidāvibhaṅgo,732–741,10,4,534–537,,Analysis of the Discriminations,,,,,,,,,,
148,8 Oct,,Fri,Vibhaṅgapāḷi,15. Paṭisambhidāvibhaṅgo,742–750,9,4,538–541,,Analysis of the Discriminations,,,,,,,,,,
149,9 Oct,"Days 149-157
The Analysis - Kinds of Knowledge",Sat,Vibhaṅgapāḷi,16. Ñāṇavibhaṅgo,751–753,3,5,542–546,21,Analysis of Knowledge,,,,,,,,,,
150,10 Oct,,Sun,Vibhaṅgapāḷi,16. Ñāṇavibhaṅgo,754,1,5,547–551,,Analysis of Knowledge,,,,,,,,,,
151,11 Oct,,Mon,Vibhaṅgapāḷi,16. Ñāṇavibhaṅgo,755–765,10,5,552–556,,Analysis of Knowledge,,,,,,,,,,
152,12 Oct,,Tue,Vibhaṅgapāḷi,16. Ñāṇavibhaṅgo,766–767,2,4,557–560,,Analysis of Knowledge,,,,,,,,,,
153,13 Oct,,Wed,Vibhaṅgapāḷi,16. Ñāṇavibhaṅgo,768–787,20,4,561–564,,Analysis of Knowledge,,,,,,,,,,
154,14 Oct,,Thu,Vibhaṅgapāḷi,16. Ñāṇavibhaṅgo,788–800,13,4,565–568,,Analysis of Knowledge,,,,,,,,,,
155,15 Oct,,Fri,Vibhaṅgapāḷi,16. Ñāṇavibhaṅgo,801–809,9,4,569–572,,Analysis of Knowledge,,,,,,,,,,
156,16 Oct,,Sat,Vibhaṅgapāḷi,16. Ñāṇavibhaṅgo,810–815,6,4,573–576,,Analysis of Knowledge,,,,,,,,,,
157,17 Oct,,Sun,Vibhaṅgapāḷi,16. Ñāṇavibhaṅgo,816–830,15,4,577–580,,Analysis of Knowledge,,,,,,,,,,
158,18 Oct,"Days 158-170
The Analysis - Minor Points/Defilements",Mon,Vibhaṅgapāḷi,17. Khuddakavatthuvibhaṅgo,832–849,18,5,581–585,22,Analysis of Minor Subjects,,,,,,,,,,
159,19 Oct,,Tue,Vibhaṅgapāḷi,17. Khuddakavatthuvibhaṅgo,850–876,27,5,586–590,,Analysis of Minor Subjects,,,,,,,,,,
160,20 Oct,,Wed,Vibhaṅgapāḷi,17. Khuddakavatthuvibhaṅgo,877–899,23,5,591–595,,Analysis of Minor Subjects,,,,,,,,,,
161,21 Oct,,Thu,Vibhaṅgapāḷi,17. Khuddakavatthuvibhaṅgo,900–913,14,5,596–600,,Analysis of Minor Subjects,,,,,,,,,,
162,22 Oct,,Fri,Vibhaṅgapāḷi,17. Khuddakavatthuvibhaṅgo,914–924,11,5,601–605,,Analysis of Minor Subjects,,,,,,,,,,
163,23 Oct,,Sat,Vibhaṅgapāḷi,17. Khuddakavatthuvibhaṅgo,925–932,8,4,606–609,,Analysis of Minor Subjects,,,,,,,,,,
164,24 Oct,,Sun,Vibhaṅgapāḷi,17. Khuddakavatthuvibhaṅgo,933–938,6,4,610–613,,Analysis of Minor Subjects,,,,,,,,,,
165,25 Oct,,Mon,Vibhaṅgapāḷi,17. Khuddakavatthuvibhaṅgo,939–942,4,4,614–617,,Analysis of Minor Subjects,,,,,,,,,,
166,26 Oct,,Tue,Vibhaṅgapāḷi,17. Khuddakavatthuvibhaṅgo,943–947,5,4,618–621,,Analysis of Minor Subjects,,,,,,,,,,
167,27 Oct,,Wed,Vibhaṅgapāḷi,17. Khuddakavatthuvibhaṅgo,948–953,6,4,622–625,,Analysis of Minor Subjects,,,,,,,,,,
168,28 Oct,,Thu,Vibhaṅgapāḷi,17. Khuddakavatthuvibhaṅgo,954–965,12,4,626–629,,Analysis of Minor Subjects,,,,,,,,,,
169,29 Oct,,Fri,Vibhaṅgapāḷi,17. Khuddakavatthuvibhaṅgo,966–974,9,4,630–633,,Analysis of Minor Subjects,,,,,,,,,,
170,30 Oct,,Sat,Vibhaṅgapāḷi,17. Khuddakavatthuvibhaṅgo,975–977,3,4,634–637,,Analysis of Minor Subjects,,,,,,,,,,
171,31 Oct,"Days 171-178
The Analysis - The Heart of the Dhamma (Summary)",Sun,Vibhaṅgapāḷi,18. Dhammahadayavibhaṅgo,978–994,17,5,638–642,23,Analysis of the Heart of the Doctrine,,,,,,,,,,
172,1 Nov,,Mon,Vibhaṅgapāḷi,18. Dhammahadayavibhaṅgo,995–1005,11,5,643–647,,Analysis of the Heart of the Doctrine,,,,,,,,,,
173,2 Nov,,Tue,Vibhaṅgapāḷi,18. Dhammahadayavibhaṅgo,1006–1012,7,5,648–652,,Analysis of the Heart of the Doctrine,,,,,,,,,,
174,3 Nov,,Wed,Vibhaṅgapāḷi,18. Dhammahadayavibhaṅgo,1013–1019,7,4,653–656,,Analysis of the Heart of the Doctrine,,,,,,,,,,
175,4 Nov,,Thu,Vibhaṅgapāḷi,18. Dhammahadayavibhaṅgo,1020–1027,8,4,657–660,,Analysis of the Heart of the Doctrine,,,,,,,,,,
176,5 Nov,,Fri,Vibhaṅgapāḷi,18. Dhammahadayavibhaṅgo,1028–1035,8,4,661–664,,Analysis of the Heart of the Doctrine,,,,,,,,,,
177,6 Nov,,Sat,Vibhaṅgapāḷi,18. Dhammahadayavibhaṅgo,1036–1040,5,4,665–668,,Analysis of the Heart of the Doctrine,,,,,,,,,,
178,7 Nov,,Sun,Vibhaṅgapāḷi,18. Dhammahadayavibhaṅgo,1041–1044,4,4,669–672,,Analysis of the Heart of the Doctrine,,,,,,,,,,
179,8 Nov,"Days 179-184
Exposition: Included / Not-Included",Mon,Dhātukathāpāḷi,Mātikā (Nayamātikā – Bāhiramātikā),1–5,5,1,673,24,Methodology Matrices,,,,,,,,,,
180,9 Nov,,Tue,Dhātukathāpāḷi,1. Saṅgahāsaṅgahapadaniddeso,6–32,27,4,674–677,,Exposition: Included / Not-Included,,,,,,,,,,
181,10 Nov,,Wed,Dhātukathāpāḷi,1. Saṅgahāsaṅgahapadaniddeso,33–61,29,4,678–681,,Exposition: Included / Not-Included,,,,,,,,,,
182,11 Nov,,Thu,Dhātukathāpāḷi,1. Saṅgahāsaṅgahapadaniddeso,62–97,36,4,682–685,,Exposition: Included / Not-Included,,,,,,,,,,
183,12 Nov,,Fri,Dhātukathāpāḷi,1. Saṅgahāsaṅgahapadaniddeso,98–132,35,4,686–689,,Exposition: Included / Not-Included,,,,,,,,,,
184,13 Nov,,Sat,Dhātukathāpāḷi,1. Saṅgahāsaṅgahapadaniddeso,133–167,35,4,690–693,,Exposition: Included / Not-Included,,,,,,,,,,
185,14 Nov,"Days 185-194
Exposition: With Included, Not-Included",Sun,Dhātukathāpāḷi,2. Saṅgahitenaasaṅgahitapadaniddeso,171–173,3,1,694,25,"Exposition: With Included, Not-Included",,,,,,,,,,
186,15 Nov,,Mon,Dhātukathāpāḷi,3. Asaṅgahitenasaṅgahitapadaniddeso,179–190,12,3,695–697,,"Exposition: With Not-Included, Included",,,,,,,,,,
187,16 Nov,,Tue,Dhātukathāpāḷi,4. Saṅgahitenasaṅgahitapadaniddeso,191–192,2,1,698,,"Exposition: With Included, Included",,,,,,,,,,
188,17 Nov,,Wed,Dhātukathāpāḷi,5. Asaṅgahitenaasaṅgahitapadaniddeso,193–216,24,5,699–703,,"Exposition: With Not-Included, Not-Included",,,,,,,,,,
189,18 Nov,,Thu,Dhātukathāpāḷi,5. Asaṅgahitenaasaṅgahitapadaniddeso,217–244,28,5,704–708,,"Exposition: With Not-Included, Not-Included",,,,,,,,,,
190,19 Nov,,Fri,Dhātukathāpāḷi,5. Asaṅgahitenaasaṅgahitapadaniddeso,245–284,40,5,709–713,,"Exposition: With Not-Included, Not-Included",,,,,,,,,,
191,20 Nov,,Sat,Dhātukathāpāḷi,5. Asaṅgahitenaasaṅgahitapadaniddeso,285–318,34,5,714–718,,"Exposition: With Not-Included, Not-Included",,,,,,,,,,
192,21 Nov,,Sun,Dhātukathāpāḷi,5. Asaṅgahitenaasaṅgahitapadaniddeso,319–352,34,5,719–723,,"Exposition: With Not-Included, Not-Included",,,,,,,,,,
193,22 Nov,,Mon,Dhātukathāpāḷi,5. Asaṅgahitenaasaṅgahitapadaniddeso,353–378,26,4,724–727,,"Exposition: With Not-Included, Not-Included",,,,,,,,,,
194,23 Nov,,Tue,Dhātukathāpāḷi,5. Asaṅgahitenaasaṅgahitapadaniddeso,379–405,27,4,728–731,,"Exposition: With Not-Included, Not-Included",,,,,,,,,,
195,24 Nov,"Days 195-198
Exposition: Included with Associated/Dissociated

",Wed,Dhātukathāpāḷi,11. Saṅgahitenasampayuttavippayuttapadaniddeso,409–416,8,3,732–734,26,Exposition: Included with Associated/Dissociated,,,,,,,,,,
196,25 Nov,,Thu,Dhātukathāpāḷi,12. Sampayuttenasaṅgahitāsaṅgahitapadaniddeso,417–446,30,4,735–738,,Exposition: Associated with Included/Not-Included,,,,,,,,,,
197,26 Nov,,Fri,Dhātukathāpāḷi,13. Asaṅgahitenasampayuttavippayuttapadaniddeso,448–455,8,3,739–741,,Exposition: Not-Included with Associated/Dissociated,,,,,,,,,,
198,27 Nov,,Sat,Dhātukathāpāḷi,14. Vippayuttenasaṅgahitāsaṅgahitapadaniddeso,456–469,14,3,742–744,,Exposition: Dissociated with Included/Not-Included,,,,,,,,,,
199,28 Nov,"Days 199-200
Heptad of Contact etc.",Sun,Dhātukathāpāḷi,Phassādisattakaṃ,472–500,29,5,745–749,27,Heptad of Contact etc.,,,,,,,,,,
200,29 Nov,,Mon,Dhātukathāpāḷi,Phassādisattakaṃ,501–518,18,5,750–754,,Heptad of Contact etc.,,,,,,,,,,
