Book Title:,,,,,,,,,,,,,,,,,,,,,
Total Pages:,,,,,,,,,,,,,,,,,,,,,
Total Days:,,,,,,,,,,,,,,,,,,,,,
Avg Pages / Day:,,,,,,,,,,,,,,,,,,,,,
Schedule Start:,,,,,,,,,,,,,,,,,,,,,
Schedule End:,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Day #,Date,Plan Name,Day of Week,Book,Chapter or Section,Verse Range,Verses,Pages,Page Range,Plan #,Chapter (English),Segment Span,Chanting Guide,Chanting Guide(Sinhala),Chanting Guide(Bengali),Pali Word of the day,Pali Word of the day(Sinhali),Pali Word of the day(Bengali),notification title,notification body ,notification button text
33,15 Jun,,Tue,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,529–539,11,3,114–116,,Section on the Arising of Consciousness,,,,,,,,,,
34,16 Jun,,Wed,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,540–549,10,3,117–119,,Section on the Arising of Consciousness,,,,,,,,,,
35,17 Jun,,Thu,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,550–560,11,3,120–122,,Section on the Arising of Consciousness,,,,,,,,,,
36,18 Jun,,Fri,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,561–571,11,3,123–125,,Section on the Arising of Consciousness,,,,,,,,,,
37,19 Jun,,Sat,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,572–582,11,3,126–128,,Section on the Arising of Consciousness,,,,,,,,,,
38,20 Jun,"Days 38-54
Compendium of Phenomena - Material Form",Sun,Dhammasaṅgaṇīpāḷi,2. Rūpakaṇḍaṃ,583–585,3,4,129–132,3,Section on Matter,,,,,,,,,,
39,21 Jun,,Mon,Dhammasaṅgaṇīpāḷi,2. Rūpakaṇḍaṃ,586,1,4,133–136,,Section on Matter,,,,,,,,,,
40,22 Jun,,Tue,Dhammasaṅgaṇīpāḷi,2. Rūpakaṇḍaṃ,587–594,8,4,137–140,,Section on Matter,,,,,,,,,,
41,23 Jun,,Wed,Dhammasaṅgaṇīpāḷi,2. Rūpakaṇḍaṃ,595–610,16,4,141–144,,Section on Matter,,,,,,,,,,
42,24 Jun,,Thu,Dhammasaṅgaṇīpāḷi,2. Rūpakaṇḍaṃ,611–623,13,4,145–148,,Section on Matter,,,,,,,,,,
43,25 Jun,,Fri,Dhammasaṅgaṇīpāḷi,2. Rūpakaṇḍaṃ,624–648,25,4,149–152,,Section on Matter,,,,,,,,,,
44,26 Jun,,Sat,Dhammasaṅgaṇīpāḷi,2. Rūpakaṇḍaṃ,649–685,37,4,153–156,,Section on Matter,,,,,,,,,,
45,27 Jun,,Sun,Dhammasaṅgaṇīpāḷi,2. Rūpakaṇḍaṃ,686–720,35,3,157–159,,Section on Matter,,,,,,,,,,
46,28 Jun,,Mon,Dhammasaṅgaṇīpāḷi,2. Rūpakaṇḍaṃ,721–751,31,3,160–162,,Section on Matter,,,,,,,,,,
47,29 Jun,,Tue,Dhammasaṅgaṇīpāḷi,2. Rūpakaṇḍaṃ,752–785,34,3,163–165,,Section on Matter,,,,,,,,,,
48,30 Jun,,Wed,Dhammasaṅgaṇīpāḷi,2. Rūpakaṇḍaṃ,786–814,29,3,166–168,,Section on Matter,,,,,,,,,,
49,1 Jul,,Thu,Dhammasaṅgaṇīpāḷi,2. Rūpakaṇḍaṃ,815–848,34,3,169–171,,Section on Matter,,,,,,,,,,
50,2 Jul,,Fri,Dhammasaṅgaṇīpāḷi,2. Rūpakaṇḍaṃ,849–881,33,3,172–174,,Section on Matter,,,,,,,,,,
51,3 Jul,,Sat,Dhammasaṅgaṇīpāḷi,2. Rūpakaṇḍaṃ,882–909,28,3,175–177,,Section on Matter,,,,,,,,,,
52,4 Jul,,Sun,Dhammasaṅgaṇīpāḷi,2. Rūpakaṇḍaṃ,910–932,23,3,178–180,,Section on Matter,,,,,,,,,,
53,5 Jul,,Mon,Dhammasaṅgaṇīpāḷi,2. Rūpakaṇḍaṃ,933–964,32,3,181–183,,Section on Matter,,,,,,,,,,
54,6 Jul,,Tue,Dhammasaṅgaṇīpāḷi,2. Rūpakaṇḍaṃ,965–982,18,3,184–186,,Section on Matter,,,,,,,,,,
55,7 Jul,"Days 55-69
Compendium of Phenomena - Summary",Wed,Dhammasaṅgaṇīpāḷi,3. Nikkhepakaṇḍaṃ,985–1010,26,4,187–190,4,Section of Exposition,,,,,,,,,,
56,8 Jul,,Thu,Dhammasaṅgaṇīpāḷi,3. Nikkhepakaṇḍaṃ,1011–1047,37,4,191–194,,Section of Exposition,,,,,,,,,,
57,9 Jul,,Fri,Dhammasaṅgaṇīpāḷi,3. Nikkhepakaṇḍaṃ,1048–1078,31,4,195–198,,Section of Exposition,,,,,,,,,,
58,10 Jul,,Sat,Dhammasaṅgaṇīpāḷi,3. Nikkhepakaṇḍaṃ,1079–1106,28,4,199–202,,Section of Exposition,,,,,,,,,,
59,11 Jul,,Sun,Dhammasaṅgaṇīpāḷi,3. Nikkhepakaṇḍaṃ,1107–1135,29,4,203–206,,Section of Exposition,,,,,,,,,,
60,12 Jul,,Mon,Dhammasaṅgaṇīpāḷi,3. Nikkhepakaṇḍaṃ,1136–1157,22,4,207–210,,Section of Exposition,,,,,,,,,,
61,13 Jul,,Tue,Dhammasaṅgaṇīpāḷi,3. Nikkhepakaṇḍaṃ,1158–1183,26,4,211–214,,Section of Exposition,,,,,,,,,,
62,14 Jul,,Wed,Dhammasaṅgaṇīpāḷi,3. Nikkhepakaṇḍaṃ,1184–1215,32,3,215–217,,Section of Exposition,,,,,,,,,,
63,15 Jul,,Thu,Dhammasaṅgaṇīpāḷi,3. Nikkhepakaṇḍaṃ,1216–1236,21,3,218–220,,Section of Exposition,,,,,,,,,,
64,16 Jul,,Fri,Dhammasaṅgaṇīpāḷi,3. Nikkhepakaṇḍaṃ,1237–1257,21,3,221–223,,Section of Exposition,,,,,,,,,,
65,17 Jul,,Sat,Dhammasaṅgaṇīpāḷi,3. Nikkhepakaṇḍaṃ,1258–1270,13,3,224–226,,Section of Exposition,,,,,,,,,,
66,18 Jul,,Sun,Dhammasaṅgaṇīpāḷi,3. Nikkhepakaṇḍaṃ,1271–1295,25,3,227–229,,Section of Exposition,,,,,,,,,,
67,19 Jul,,Mon,Dhammasaṅgaṇīpāḷi,3. Nikkhepakaṇḍaṃ,1296–1328,33,3,230–232,,Section of Exposition,,,,,,,,,,
68,20 Jul,,Tue,Dhammasaṅgaṇīpāḷi,3. Nikkhepakaṇḍaṃ,1329–1352,24,3,233–235,,Section of Exposition,,,,,,,,,,
69,21 Jul,,Wed,Dhammasaṅgaṇīpāḷi,3. Nikkhepakaṇḍaṃ,1353–1379,27,3,236–238,,Section of Exposition,,,,,,,,,,
70,22 Jul,"Days 70-77
Compendium of Phenomena - Commentary",Thu,Dhammasaṅgaṇīpāḷi,4. Aṭṭhakathākaṇḍaṃ,1384–1414,31,4,239–242,5,Section of Commentary,,,,,,,,,,
71,23 Jul,,Fri,Dhammasaṅgaṇīpāḷi,4. Aṭṭhakathākaṇḍaṃ,1415–1441,27,4,243–246,,Section of Commentary,,,,,,,,,,
