source_lemma,target_rendering,frequency_blocks,frequency_tokens,lemma_total_blocks,distinct_renderings_for_lemma,sample_block_ids
kāyalahutā,"is,",1,,4,3,1-1
kāyamudutā,plasticity_of_mental_factors,2,,4,3,1-114; 1-62
kāyamudutā,"is,",1,,4,3,1-1
kāyamudutā,pliancy_of_mental_factors,1,,4,3,1-44
kāyapassaddhi,serenity_of_mental_factors,3,,4,3,1-114; 1-40; 1-62
kāyapassaddhi,"is,",1,,4,3,1-1
kāyapassaddhi,repose_of_mental_factors,1,,4,3,1-40
kāyapāguññatā,fitness_of_mental_factors,3,,4,2,1-114; 1-48; 1-62
kāyapāguññatā,"is,",1,,4,2,1-1
kāyujukatā,directness_of_mental_factors,2,,4,3,1-114; 1-62
kāyujukatā,"is,",1,,4,3,1-1
kāyujukatā,rectitude_of_mental_factors,1,,4,3,1-50
lahupariṇāmatā,alertness_in_varying,2,2,2,1,1-42; 1-43
lahutā,buoyancy,2,2,2,1,1-42; 1-43
lokiyā,mundane,1,1,1,1,1-0b-12
lokuttarā,supramundane,1,1,1,1,1-0b-12
maddavatā,suavity,2,2,2,1,1-44; 1-45
maggahetukā,whose_moral_root_is_the_Path,1,1,1,1,1-0a-16
maggo,Path,3,,4,2,1-121; 1-129; 1-89
maggo,fivefold,1,,4,2,1-58
maggādhipatino,whose_dominant_influence_is_the_Path,1,1,1,1,1-0a-16
maggārammaṇā,have_the_Path_as_object,1,1,1,1,1-0a-16
mahaggatā,sublime,1,1,1,1,1-0a-12
mahaggatārammaṇā,a_sublime_object,1,1,1,1,1-0a-13
majjhimā,of_medium_worth,1,1,1,1,1-0a-14
manindriyaṃ,intellection,11,,15,6,1-111; 1-115; 1-116; 1-117; 1-118
manindriyaṃ,faculty_of_mind,4,,15,6,1-117; 1-121; 1-17; 1-80
manindriyaṃ,is.,3,,15,6,1-117; 1-17; 1-80
manindriyaṃ,"is,",1,,15,6,1-1
manindriyaṃ,one,1,,15,6,1-58
manindriyaṃ,skandha_of_consciousness,1,,15,6,1-63
"manindriyaṃ,","faculty_of_ideation,",1,,2,2,1-127
"manindriyaṃ,","faculty_of_insight,",1,,2,2,1-74
mano,ideation,11,,12,4,1-111; 1-115; 1-116; 1-117; 1-118
mano,ideation_as_the_sphere_of_mind,11,,12,4,1-111; 1-115; 1-116; 1-117; 1-118
mano,faculty_of_mind,1,,12,4,1-63
mano,mind,1,,12,4,1-63
manosañcetanāhāro,"nutriment_of_volition,",1,,2,3,1-70
manosañcetanāhāro,nutriment_which_is_volition,1,,2,3,1-72
manosañcetanāhāro,representative_cogitation,1,,2,3,1-72
"manosañcetanāhāro,","nutriment_of_volition,",1,1,1,1,1-126
manoviññāṇadhātu,element_of_intellection,3,,4,3,1-118; 1-121; 1-68
manoviññāṇadhātu,is.,2,,4,3,1-118; 1-68
manoviññāṇadhātu,one,1,,4,3,1-58
"Manoviññāṇadhātu,","Element_of_intellection,",1,,2,2,1-125
"Manoviññāṇadhātu,","Element_of_representative_intellection,",1,,2,2,1-67
manāyatanaṃ,faculty_of_mind,11,,14,5,1-111; 1-115; 1-116; 1-117; 1-118
manāyatanaṃ,sphere_of_mind,3,,14,5,1-116; 1-121; 1-65
manāyatanaṃ,is.,2,,14,5,1-116; 1-65
manāyatanaṃ,intellection,1,,14,5,1-63
manāyatanaṃ,one,1,,14,5,1-58
Manāyatanaṃ,"Sphere_of_mind,",1,1,1,1,1-64
"Manāyatanaṃ,","Sphere_of_mind,",1,1,1,1,1-124
medhā,a_guide,9,,10,2,1-100; 1-16; 1-29; 1-34; 1-37
medhā,leading,1,,10,2,1-20
micchattaniyatā,of_a_wrongfulness_fixed_as_to_consequences,1,1,1,1,1-0a-15
mudutā,plasticity,1,,2,2,1-45
mudutā,pliancy,1,,2,2,1-44
muṭṭhasaccañca,Forgetfulness_and,1,1,1,1,1-0b-129
mānasaṃ,mind,11,,12,2,1-111; 1-115; 1-116; 1-117; 1-118
mānasaṃ,heart,1,,12,2,1-63
na,not,12,,18,5,1-0b-1; 1-0b-13; 1-0b-4; 1-0b-5; 1-0b-6
na,nor,3,,18,5,1-0a-3; 1-0a-8; 1-0a-9
na,unaccompanied_by_ease,1,,18,5,1-0b-91
na,unaccompanied_by_indifference,1,,18,5,1-0b-92
na,unaccompanied_by_zest,1,,18,5,1-0b-90
nepuññaṃ,criticism,10,10,10,1,1-100; 1-16; 1-20; 1-29; 1-34
neva,neither,3,3,3,1,1-0a-3; 1-0a-8; 1-0a-9
nevasekkhanāsekkhā,of_one_who_is_neither,1,1,1,1,1-0a-11
nevācayagāmināpacayagāmino,going_to_neither,1,1,1,1,1-0a-10
nikkamo,striving,7,7,7,1,1-13; 1-22; 1-26; 1-56; 1-76
nirutti,explanations,1,1,1,1,1-0b-107
niruttipathā,processes_of_explanation,1,1,1,1,1-0b-107
niyatā,fixed,1,1,1,1,1-0b-98
niyyānikā,lead_onward,1,1,1,1,1-0b-97
no,are_not_so,5,,19,14,1-0b-60; 1-0b-62; 1-0b-63; 1-0b-64; 1-0b-65
no,not,2,,19,14,1-0b-17; 1-0b-18
no,are_not_bonds,1,,19,14,1-0b-38
no,are_not_derived,1,,19,14,1-0b-67
no,are_not_fetters,1,,19,14,1-0b-20
no,are_not_floods,1,,19,14,1-0b-32
no,are_not_graspings,1,,19,14,1-0b-69
no,are_not_hindrances,1,,19,14,1-0b-44
no,are_not_perversions,1,,19,14,1-0b-50
no,are_not_ties,1,,19,14,1-0b-26
no,are_not_vices,1,,19,14,1-0b-75
no,are_not_āsavas,1,,19,14,1-0b-14
no,do_not_so_come_into_being,1,,19,14,1-0b-61
no,have_not_thought,1,,19,14,1-0b-56
nāmañca,Name_and,1,1,1,1,1-0b-109
nīvaraṇasampayuttā,associated_with_hindrances,1,,2,2,1-0b-46
nīvaraṇasampayuttā,the_latter,1,,2,2,1-0b-48
nīvaraṇavippayuttā,are_dissociated_from_hindrances,1,,2,2,1-0b-46
nīvaraṇavippayuttā,dissociated_from_hindrances,1,,2,2,1-0b-49
nīvaraṇiyā,favourable_to_hindrances,1,,2,2,1-0b-45
nīvaraṇiyā,the_latter,1,,2,2,1-0b-47
nīvaraṇiyāpi,may_be_favourable_to_hindrances,1,1,1,1,1-0b-49
nīvaraṇā,both_hindrances,2,,3,3,1-0b-47; 1-0b-48
nīvaraṇā,(States),1,,3,3,1-0b-44
nīvaraṇā,hindrances,1,,3,3,1-0b-44
odagyaṃ,exultation,2,2,2,1,1-86; 1-9
oghaniyā,favourable_to_floods,1,,2,2,1-0b-33
oghaniyā,the_latter,1,,2,2,1-0b-35
oghaniyāpi,may_be_favourable_to_floods,1,1,1,1,1-0b-37
oghasampayuttā,associated_with_floods,1,,2,2,1-0b-34
oghasampayuttā,the_latter,1,,2,2,1-0b-36
oghavippayuttā,are_dissociated_from_floods,1,,2,2,1-0b-34
oghavippayuttā,dissociated_from_floods,1,,2,2,1-0b-37
oghā,both_floods,2,,3,3,1-0b-35; 1-0b-36
oghā,(States),1,,3,3,1-0b-32
oghā,floods,1,,3,3,1-0b-32
okappanā,professing_confidence_in,4,4,4,1,1-12; 1-25; 1-75; 1-96
ottappabalaṃ,power_of_the_fear_of_blame,5,,6,2,1-102; 1-114; 1-130; 1-31; 1-62
ottappabalaṃ,"is,",1,,6,2,1-1
ottappabalaṃ.,power_of_the_fear_of_blame.,1,1,1,1,1-95
ottappati,sense_of_guilt,3,6,3,1,1-102; 1-31; 1-39
ottappaṃ,fear_of_blame,3,,4,2,1-114; 1-39; 1-62
ottappaṃ,"is,",1,,4,2,1-1
ottappitabbena,which_ought_to_be_felt,3,3,3,1,1-102; 1-31; 1-39
paccupalakkhaṇā,erudition,10,10,10,1,1-100; 1-16; 1-20; 1-29; 1-34
paccuppannā,present,1,1,1,1,1-0a-18
paccuppannārammaṇā,the_present_as_their_object,1,1,1,1,1-0a-19
paggāhanimittañca,the_sign_of_grasp,1,1,1,1,1-0b-133
paggāho,grasp,3,,5,4,1-114; 1-56; 1-62
paggāho,Grasp_and,1,,5,4,1-0b-134
paggāho,"is,",1,,5,4,1-1
paggāho,is.,1,,5,4,1-56
paguṇabhāvo,efficient_state,2,2,2,1,1-48; 1-49
paguṇattaṃ,competence,2,2,2,1,1-48; 1-49
paguṇatā,fitness,2,2,2,1,1-48; 1-49
pahāso,merriment,2,2,2,1,1-86; 1-9
pahātabbahetukā,moral_root_of_which_may_be_put_away,2,,3,3,1-0b-85; 1-0b-86
pahātabbahetukā,(moral_roots_put_away),1,,3,3,1-0a-9
pahātabbahetukā,moral_roots_of_which_are_to_be_put_away,1,,3,3,1-0a-9
pahātabbā,may_be_put_away,2,,3,3,1-0b-83; 1-0b-84
pahātabbā,(to_be_put_away),1,,3,3,1-0a-8
pahātabbā,to_be_put_away,1,,3,3,1-0a-8
pajānanā,search,10,10,10,1,1-100; 1-16; 1-20; 1-29; 1-34
pamodanā,rejoicing_over,2,2,2,1,1-86; 1-9
pana,moreover,2,,4,3,1-0b-19; 1-0b-6
pana,at_that,1,,4,3,1-1
pana,occasion,1,,4,3,1-57
"panārabbha,",at_that,1,1,1,1,1-1
parakkamo,onward_effort,7,7,7,1,1-13; 1-22; 1-26; 1-56; 1-76
parittā,limited,1,1,1,1,1-0a-12
parittārammaṇā,have_a_limited_object,1,1,1,1,1-0a-13
pariyāpannā,included,1,1,1,1,1-0b-96
pariṇāyikā,intuition,9,,10,2,1-100; 1-16; 1-29; 1-34; 1-37
pariṇāyikā,insight,1,,10,2,1-20
parāmaṭṭhā,perverted,1,,2,2,1-0b-51
parāmaṭṭhā,the_latter,1,,2,2,1-0b-53
parāmaṭṭhāpi,are_either_perverted,1,1,1,1,1-0b-54
parāmāsasampayuttā,associated_with_perversion,1,1,1,1,1-0b-52
parāmāsavippayuttā,dissociated_from_perversion,2,2,2,1,1-0b-52; 1-0b-54
parāmāsā,(States),1,,2,3,1-0b-50
parāmāsā,both_perversions,1,,2,3,1-0b-53
parāmāsā,perversions,1,,2,3,1-0b-50
passaddhi,serenity,2,2,2,1,1-40; 1-41
passambhanā,calming,2,2,2,1,1-40; 1-41
patodo,wisdom_as_faculty,7,,10,3,1-16; 1-29; 1-34; 1-37; 1-53
patodo,wisdom,2,,10,3,1-100; 1-79
patodo,insight_as_faculty,1,,10,3,1-20
pavicayo,searching_the_Doctrine,9,,10,2,1-100; 1-16; 1-29; 1-34; 1-37
pavicayo,searching_the_Truth,1,,10,2,1-20
pañcaṅgikaṃ,"are,",1,,2,2,1-58
pañcaṅgikaṃ,fivefold,1,,2,2,1-83
pañcaṅgiko,fivefold,1,,2,2,1-89
pañcaṅgiko,"is,",1,,2,2,1-58
paññatti,expressions,1,1,1,1,1-0b-108
paññattipathā,processes_of_expression,1,1,1,1,1-0b-108
paññindriyaṃ,wisdom_as_a_sword,7,,13,6,1-16; 1-29; 1-34; 1-37; 1-53
paññindriyaṃ,faculty_of_insight,4,,13,6,1-114; 1-16; 1-62; 1-79
paññindriyaṃ,power_of_wisdom,2,,13,6,1-100; 1-79
paññindriyaṃ,as_a_sword,1,,13,6,1-20
paññindriyaṃ,"is,",1,,13,6,1-1
paññindriyaṃ,is.,1,,13,6,1-79
"paññindriyaṃ,","faculty_of_concentration,",1,,2,2,1-74
"paññindriyaṃ,","faculty_of_insight,",1,,2,2,1-127
paññā,understanding,11,,11,4,1-100; 1-106; 1-16; 1-20; 1-29
paññā,wisdom_as_power,7,,11,4,1-16; 1-29; 1-34; 1-37; 1-53
paññā,faculty_of_insight,2,,11,4,1-100; 1-79
paññā,insight_as_power,1,,11,4,1-20
paññābalaṃ,wisdom_as_a_height,7,,13,6,1-16; 1-29; 1-34; 1-37; 1-53
paññābalaṃ,power_of_insight,4,,13,6,1-100; 1-114; 1-29; 1-62
paññābalaṃ,a_sword,2,,13,6,1-100; 1-79
paññābalaṃ,as_a_height,1,,13,6,1-20
paññābalaṃ,"is,",1,,13,6,1-1
paññābalaṃ,is.,1,,13,6,1-100
"paññābalaṃ,","power_of_insight,",2,2,2,1,1-130; 1-95
paññāobhāso,wisdom_as_a_precious_stone,7,,10,3,1-16; 1-29; 1-34; 1-37; 1-53
paññāobhāso,splendour,2,,10,3,1-100; 1-79
paññāobhāso,as_a_precious_stone,1,,10,3,1-20
paññāpajjoto,absence_of_dullness,8,,10,2,1-16; 1-20; 1-29; 1-34; 1-37
paññāpajjoto,a_precious_stone,2,,10,2,1-100; 1-79
paññāpāsādo,wisdom_as_glory,7,,10,3,1-16; 1-29; 1-34; 1-37; 1-53
paññāpāsādo,light,2,,10,3,1-100; 1-79
paññāpāsādo,as_glory,1,,10,3,1-20
paññāratanaṃ,searching_the_Truth,8,,10,2,1-16; 1-20; 1-29; 1-34; 1-37
paññāratanaṃ,absence_of_dullness,2,,10,2,1-100; 1-79
paññāsatthaṃ,wisdom_as_light,7,,10,3,1-16; 1-29; 1-34; 1-37; 1-53
paññāsatthaṃ,a_height,2,,10,3,1-100; 1-79
paññāsatthaṃ,as_light,1,,10,3,1-20
paññāāloko,wisdom_as_splendour,7,,10,3,1-16; 1-29; 1-34; 1-37; 1-53
paññāāloko,glory,2,,10,3,1-100; 1-79
paññāāloko,as_splendour,1,,10,3,1-20
paṇītā,excellent,1,1,1,1,1-0a-14
paṇḍaraṃ,that_which_is_clear,11,,12,2,1-111; 1-115; 1-116; 1-117; 1-118
paṇḍaraṃ,ideation_as_the_sphere_of_mind,1,,12,2,1-63
paṇḍiccaṃ,proficiency,10,10,10,1,1-100; 1-16; 1-20; 1-29; 1-34
paṇḍitā,discreet,1,1,1,1,1-0b-103
paṭiccasamuppannā,causally_induced,4,,7,4,1-114; 1-120; 1-121; 1-62
paṭiccasamuppannā,are,1,,7,4,1-58
paṭiccasamuppannā,incorporeal,1,,7,4,1-1
paṭiccasamuppannā,States,1,,7,4,1-57
paṭipassaddhi,composure,2,2,2,1,1-40; 1-41
paṭipassambhanā,tranquillizing,2,2,2,1,1-40; 1-41
paṭipassambhitattaṃ,tranquillity,2,2,2,1,1-40; 1-41
paṭisanthāro,courtesy,1,1,1,1,1-0b-126
paṭisaṅkhānabalañca,Computing_power_and,1,1,1,1,1-0b-131
paṭissati,calling_back_to_mind,7,7,7,1,1-14; 1-23; 1-27; 1-52; 1-77
phasso,contact,5,,7,4,1-107; 1-121; 1-132; 1-2; 1-71
phasso,at_that,1,,7,4,1-132
phasso,"is,",1,,7,4,1-1
phasso,one,1,,7,4,1-58
Phasso,Contact,2,2,2,1,1-114; 1-62
phassāhāro,nutriment_which_is_contact,1,2,1,1,1-71
"Phassāhāro,","Nutriment_of_contact,",2,2,2,1,1-126; 1-70
phoṭṭhabbārammaṇaṃ,touch_object,1,1,1,1,1-1
phusanā,touching,3,3,3,1,1-107; 1-2; 1-71
pubbantānudiṭṭhi,Theory_of_first_and,1,1,1,1,1-0b-114
pālanā,preservation,2,2,2,1,1-19; 1-82
pāmojjaṃ,joy,2,2,2,1,1-86; 1-9
pāpakānaṃ,at_attaining_to_bad_and_evil_states,6,6,6,1,1-101; 1-102; 1-30; 1-31; 1-38
pīti,zest,4,,5,3,1-114; 1-62; 1-86; 1-9
pīti,is.,2,,5,3,1-86; 1-9
pīti,"is,",1,,5,3,1-1
"pīti,","zest,",2,2,2,1,1-128; 1-83
pītisahagatā,accompanied_by_zest,2,,2,2,1-0a-7; 1-0b-90
pītisahagatā,(States),1,,2,2,1-0b-90
rasārammaṇaṃ,taste_object,1,1,1,1,1-1
rūpañca,shape,1,1,1,1,1-0b-109
rūpino,have_material_form,1,1,1,1,1-0b-11
rūpārammaṇaṃ,sight_object,1,1,1,1,1-1
rūpāvacarā,of_the_universe_of_form,1,1,1,1,1-0b-94
saddahanā,trusting_in,4,4,4,1,1-12; 1-25; 1-75; 1-96
saddhindriyaṃ,faculty_of_faith,5,,7,4,1-114; 1-12; 1-62; 1-75; 1-96
saddhindriyaṃ,faith_as_a_faculty_and_as_a_power,2,,7,4,1-12; 1-25
saddhindriyaṃ,"is,",1,,7,4,1-1
saddhindriyaṃ,is.,1,,7,4,1-12
"Saddhindriyaṃ,",are?,1,,2,2,1-74
"Saddhindriyaṃ,","Faculty_of_faith,",1,,2,2,1-127
saddhā,faith,4,8,4,1,1-12; 1-25; 1-75; 1-96
saddhābalaṃ,power_of_faith,5,,6,3,1-114; 1-25; 1-62; 1-75; 1-96
saddhābalaṃ,"is,",1,,6,3,1-1
saddhābalaṃ,is.,1,,6,3,1-25
"Saddhābalaṃ,","Power_of_faith,",2,2,2,1,1-130; 1-95
saddārammaṇaṃ,sound_object,1,1,1,1,1-1
sahetukā,concomitant_with_a_moral_root,2,,2,2,1-0b-2; 1-0b-4
sahetukā,(concomitant_with_a_moral_root),1,,2,2,1-0b-4
sahetukāpi,concomitant_with_moral_roots,1,1,1,1,1-0b-6
sallakkhaṇā,discrimination,10,10,10,1,1-100; 1-16; 1-20; 1-29; 1-34
samathanimittañca,The_sign_of_calm_and,1,1,1,1,1-0b-133
samatho,faculty_and_power_of_concentration,8,,14,5,1-11; 1-15; 1-24; 1-28; 1-54
samatho,quiet,3,,14,5,1-114; 1-54; 1-62
samatho,faculty_of_concentration,2,,14,5,1-78; 1-99
samatho,Calm_and,1,,14,5,1-0b-132
samatho,"is,",1,,14,5,1-1
samaye,occasion,137,,137,32,1-1; 1-10; 1-100; 1-101; 1-102
samaye,is.,18,,137,32,1-11; 1-15; 1-16; 1-24; 1-28
samaye,one,6,,137,32,1-111; 1-115; 1-116; 1-117; 1-118
samaye,are.,3,,137,32,1-20; 1-37; 1-90
samaye,at_that,3,,137,32,1-106; 1-110; 1-58
samaye,thought,3,,137,32,1-17; 1-6; 1-63
samaye,absence_of_greed,2,,137,32,1-104; 1-32
samaye,right_endeavour,2,,137,32,1-22; 1-92
samaye,right_intention,2,,137,32,1-21; 1-91
samaye,zest,2,,137,32,1-86; 1-9
samaye,absence_of_covetousness,1,,137,32,1-35
samaye,application,1,,137,32,1-7
samaye,applied_thought,1,,137,32,1-84
samaye,are,1,,137,32,1-57
samaye,contact,1,,137,32,1-1
samaye,element_of_intellection,1,,137,32,1-68
samaye,energy,1,,137,32,1-13
samaye,faculty_of_concentration,1,,137,32,1-78
samaye,faculty_of_insight,1,,137,32,1-79
samaye,faculty_of_mind,1,,137,32,1-80
samaye,faith,1,,137,32,1-12
samaye,feeling,1,,137,32,1-108
samaye,grasp,1,,137,32,1-56
samaye,nutriment_which_is_consciousness,1,,137,32,1-73
samaye,others_also,1,,137,32,1-1
samaye,power_of_concentration,1,,137,32,1-99
samaye,power_of_energy,1,,137,32,1-26
samaye,power_of_faith,1,,137,32,1-25
samaye,power_of_insight,1,,137,32,1-100
samaye,skandha_of_feeling,1,,137,32,1-112
samaye,skandhas,1,,137,32,1-123
samaye,sphere_of_mind,1,,137,32,1-65
sammattaniyatā,of_a_righteousness_fixed_as_to_consequences,1,1,1,1,1-0a-15
sammādiṭṭhi,this,7,,12,5,1-16; 1-20; 1-29; 1-37; 1-53
sammādiṭṭhi,right_views,5,,12,5,1-114; 1-20; 1-37; 1-62; 1-90
sammādiṭṭhi,"is,",1,,12,5,1-1
sammādiṭṭhi,root_of_good,1,,12,5,1-34
sammādiṭṭhi,searching_the_Truth,1,,12,5,1-106
"Sammādiṭṭhi,","Right_views,",2,2,2,1,1-129; 1-89
sammāsamādhi,this,8,,12,3,1-11; 1-15; 1-24; 1-28; 1-54
sammāsamādhi,right_concentration,5,,12,3,1-114; 1-129; 1-24; 1-62; 1-94
sammāsamādhi,"is,",1,,12,3,1-1
sammāsamādhi.,right_concentration.,1,1,1,1,1-89
sammāsati,right_mindfulness,9,,10,2,1-114; 1-14; 1-23; 1-27; 1-52
sammāsati,"is,",1,,10,2,1-1
"sammāsati,","right_mindfulness,",2,2,2,1,1-129; 1-89
sammāsaṅkappo,right_intention,4,,5,3,1-114; 1-21; 1-62; 1-91
sammāsaṅkappo,is.,2,,5,3,1-21; 1-91
sammāsaṅkappo,"is,",1,,5,3,1-1
"sammāsaṅkappo,","right_intention,",2,2,2,1,1-129; 1-89
sammāvāyāmo,right_endeavour,6,,7,3,1-114; 1-22; 1-62; 1-76; 1-92
sammāvāyāmo,is.,2,,7,3,1-22; 1-92
sammāvāyāmo,"is,",1,,7,3,1-1
"sammāvāyāmo,","right_endeavour,",2,2,2,1,1-129; 1-89
sampajaññaṃ,a_goad,9,,13,4,1-100; 1-16; 1-29; 1-34; 1-37
sampajaññaṃ,intelligence,3,,13,4,1-114; 1-53; 1-62
sampajaññaṃ,incitement,1,,13,4,1-20
sampajaññaṃ,"is,",1,,13,4,1-1
sampayuttā,(associated_with),1,,1,2,1-0a-2
sampayuttā,associated_with,1,,1,2,1-0a-2
samādhibalaṃ,power_of_concentration,4,,6,4,1-114; 1-28; 1-62; 1-99
samādhibalaṃ,right_concentration,2,,6,4,1-78; 1-99
samādhibalaṃ,"is,",1,,6,4,1-1
samādhibalaṃ,is.,1,,6,4,1-99
"samādhibalaṃ,","power_of_concentration,",2,2,2,1,1-130; 1-95
samādhindriyaṃ,right_concentration,8,,13,5,1-11; 1-15; 1-24; 1-28; 1-54
samādhindriyaṃ,faculty_of_concentration,4,,13,5,1-114; 1-15; 1-62; 1-78
samādhindriyaṃ,power_of_concentration,2,,13,5,1-78; 1-99
samādhindriyaṃ,"is,",1,,13,5,1-1
samādhindriyaṃ,is.,1,,13,5,1-78
"samādhindriyaṃ,","faculty_of_concentration,",1,,2,2,1-127
"samādhindriyaṃ,","faculty_of_mindfulness,",1,,2,2,1-74
samāpattikusalatā,Skill_in_the_attainments_and,1,1,1,1,1-0b-120
samāpattiyā,at_that,6,6,6,1,1-101; 1-102; 1-30; 1-31; 1-38
sanidassanasappaṭighā,visible_and_reacting,1,1,1,1,1-0a-22
sanidassanā,visible,1,1,1,1,1-0b-9
sappaccayā,causally_related,1,1,1,1,1-0b-7
sappaṭighā,reactions,1,1,1,1,1-0b-10
sappītikā,concomitant_with_zest,1,1,1,1,1-0b-89
saraṇatā,remembering,7,7,7,1,1-14; 1-23; 1-27; 1-52; 1-77
saraṇā,harmful,1,1,1,1,1-0b-100
sassatadiṭṭhi,Theory_of_eternalism_and,1,1,1,1,1-0b-112
sati,mindfulness,9,,11,3,1-114; 1-14; 1-23; 1-27; 1-52
sati,"is,",1,,11,3,1-1
sati,Mindfulness_and,1,,11,3,1-0b-130
satibalaṃ,mindfulness_as_power,5,,10,3,1-14; 1-23; 1-27; 1-52; 1-93
satibalaṃ,power_of_mindfulness,5,,10,3,1-114; 1-27; 1-62; 1-77; 1-98
satibalaṃ,"is,",1,,10,3,1-1
"satibalaṃ,","power_of_mindfulness,",2,2,2,1,1-130; 1-95
satindriyaṃ,faculty_of_mindfulness,5,,10,3,1-114; 1-14; 1-62; 1-77; 1-98
satindriyaṃ,mindfulness_as_faculty,5,,10,3,1-14; 1-23; 1-27; 1-52; 1-93
satindriyaṃ,"is,",1,,10,3,1-1
"satindriyaṃ,","faculty_of_energy,",1,,2,2,1-74
"satindriyaṃ,","faculty_of_mindfulness,",1,,2,2,1-127
satta,"is,",1,,2,2,1-58
satta,seven,1,,2,2,1-95
sauttarā,have_a_beyond,1,1,1,1,1-0b-99
savicārā,having_sustained_thinking,1,1,1,1,1-0b-88
savitakkasavicārā,applied_and_sustained_thinking,1,1,1,1,1-0a-6
savitakkā,having_applied_thinking,1,1,1,1,1-0b-87
sañcetanā,purpose,1,,3,3,1-5
sañcetanā,volition,1,,3,3,1-110
sañcetanā,willing,1,,3,3,1-72
sañjānanā,perceiving,4,4,4,1,1-109; 1-113; 1-4; 1-61
sañjānitattaṃ,state_of_having_perceived,4,4,4,1,1-109; 1-113; 1-4; 1-61
saññā,perception,6,,8,4,1-109; 1-113; 1-121; 1-134; 1-4
saññā,at_that,1,,8,4,1-134
saññā,"is,",1,,8,4,1-1
saññā,one,1,,8,4,1-58
saññākkhandhassa,perception,6,6,6,1,1-40; 1-42; 1-44; 1-46; 1-48
saññākkhandhaṃ,skandha_of_perception,2,2,2,1,1-114; 1-62
saññākkhandho,skandha_of_perception,3,,6,3,1-113; 1-121; 1-61
saññākkhandho,"skandha_of_perception,",2,,6,3,1-119; 1-123
saññākkhandho,one,1,,6,3,1-58
"saññākkhandho,","skandha_of_perception,",5,5,5,1,1-120; 1-122; 1-59; 1-66; 1-69
saṃkilesikā,vicious,2,2,2,1,1-0b-76; 1-0b-79
saṃkilesikāpi,may_be_either_vicious,1,1,1,1,1-0b-82
saṃkiliṭṭhasaṃkilesikā,vitiated_and_vicious,1,1,1,1,1-0a-5
saṃkiliṭṭhā,vitiated,2,2,2,1,1-0b-77; 1-0b-80
saṃphusanā,being_brought_into_contact,3,3,3,1,1-107; 1-2; 1-71
saṃphusitattaṃ,state_of_having_been_brought_into_touch_with,3,3,3,1,1-107; 1-2; 1-71
saṃvego,Agitation_and,1,1,1,1,1-0b-139
saṃvejaniyesu,and_the_struggle_of_the_agitated,1,1,1,1,1-0b-139
saṃyojanasampayuttā,associated_with_fetters,1,,2,2,1-0b-22
saṃyojanasampayuttā,the_latter,1,,2,2,1-0b-24
saṃyojanavippayuttā,are_dissociated_from_fetters,1,,2,2,1-0b-22
saṃyojanavippayuttā,dissociated_from_fetters,1,,2,2,1-0b-25
saṃyojaniyā,favourable_to_fetters,1,,2,2,1-0b-21
saṃyojaniyā,the_latter,1,,2,2,1-0b-23
saṃyojaniyāpi,may_be_favourable_to_fetters,1,1,1,1,1-0b-25
saṃyojanā,both_fetters,2,,3,3,1-0b-23; 1-0b-24
saṃyojanā,(States),1,,3,3,1-0b-20
saṃyojanā,fetters,1,,3,3,1-0b-20
saṅkappo,disposing,4,4,4,1,1-21; 1-7; 1-84; 1-91
saṅkhatā,conditioned,1,1,1,1,1-0b-8
saṅkhārakkhandhassa,and_synergies,6,6,6,1,1-40; 1-42; 1-44; 1-46; 1-48
saṅkhārakkhandho,skandha_of_synergies,6,,7,2,1-114; 1-120; 1-121; 1-62; 1-66
saṅkhārakkhandho,one,1,,7,2,1-58
"saṅkhārakkhandho,","skandha_of_synergies,",2,,3,2,1-122; 1-59
"saṅkhārakkhandho,",skandha_of_consciousness,1,,3,2,1-123
saṇṭhiti,absorbed_steadfastness_of_thought,10,10,10,1,1-11; 1-15; 1-24; 1-28; 1-54
sekkhā,of_one_in_training,1,1,1,1,1-0a-11
somanassasahagataṃ,accompanied_by_gladness,1,1,1,1,1-1
somanassindriyaṃ,faculty_of_gladness,1,,3,3,1-81
somanassindriyaṃ,faculty_of_pleasure,1,,3,3,1-18
somanassindriyaṃ,"is,",1,,3,3,1-1
"somanassindriyaṃ,","faculty_of_gladness,",1,,2,2,1-127
"somanassindriyaṃ,","faculty_of_ideation,",1,,2,2,1-74
sovacassatā,Suavity_and,1,1,1,1,1-0b-118
sukhasahagatā,(States),1,,2,3,1-0b-91
sukhasahagatā,accompanied_by_ease,1,,2,3,1-0b-91
sukhasahagatā,by_happiness,1,,2,3,1-0a-7
sukhaṃ,born_of_contact_with_thought,4,,7,4,1-108; 1-112; 1-3; 1-60
sukhaṃ,pleasurable,4,,7,4,1-108; 1-112; 1-3; 1-60
sukhaṃ,ease,2,,7,4,1-10; 1-87
sukhaṃ,"is,",1,,7,4,1-1
"sukhaṃ,","ease,",2,2,2,1,1-128; 1-83
sukhā,occasion,4,4,4,1,1-10; 1-18; 1-81; 1-87
sukhāya,pleasant,1,1,1,1,1-0a-2
sukkā,bright,1,1,1,1,1-0b-104
sākhalyañca,Amity_and,1,1,1,1,1-0b-126
sārammaṇā,have_objects_of_thought,1,1,1,1,1-0b-55
sāsavā,(having_āsavas),1,,2,3,1-0b-17
sāsavā,have_āsavas,1,,2,3,1-0b-15
sāsavā,having_āsavas,1,,2,3,1-0b-17
